"","V1"
"TRIT1",5.1236
"ADRB1",0.0114
"GUCA2B",0
"CUL7",7.6666
"CTNNA1",64.0723
"PHKA2",0.9989
"CNTLN",1.0215
"EPHA3",0.4177
"HSPA5",410.8857
"DSG2",11.7634
"GEMIN8",9.2321
"OFD1",8.7982
"GPM6B",1.9387
"MAGEC2",0
"PREX2",0.3024
"WDR37",2.6934
"YTHDC2",3.3376
"CTPS2",14.4865
"ATP6V1H",19.623
"POLR2B",9.4571
"FAM214A",6.3897
"ARAP2",0.7808
"TPR",17.5332
"CP",66.4227
"KATNIP",2.8631
"DTNBP1",10.7891
"XK",0.1075
"ANO2",0.3141
"C12orf4",2.5878
"SCML1",1.259
"WWC3",17.1749
"ARHGAP6",0.3774
"FAM184B",0.4133
"MAP4",20.3915
"GOPC",8.5513
"ROS1",0.0039
"USP28",6.8926
"HDAC9",0.2305
"TSPAN17",10.913
"NOP16",8.8671
"CC2D2A",0.6459
"RRM2B",8.2796
"ZNF800",3.5149
"TNFRSF17",2.0729
"SNX29",1.6035
"LMO3",0.1078
"MRPS10",24.4925
"GUCA1A",0.0054
"RSF1",3.4036
"VPS13D",3.4219
"CELF2",1.4825
"FAM120A",28.0812
"R3HDM1",6.7897
"COL9A2",2.8258
"KITLG",22.5472
"ERCC8",0.6227
"ADAMTS6",0.471
"H6PD",6.7747
"VAMP3",37.5503
"PER3",1.4771
"UTS2",0.0776
"TNFRSF9",0.3257
"EPN3",10.48
"LTBP1",11.8982
"RCN1",13.0761
"ELN",26.5658
"RFC2",27.4467
"ARID1B",1.5245
"CLPTM1L",22.9559
"NEDD4L",0.259
"FOXP3",1.803
"PPP1R3F",0.7983
"HEXB",29.1178
"PTCD2",1.2071
"NEXMIF",0.0564
"JKAMP",12.1197
"DKK3",11.3158
"ARHGEF5",2.0443
"NFE2L3",3.4995
"MCUR1",8.6065
"LIMA1",20.2811
"LETMD1",5.4655
"SLC4A8",0.9829
"LAMC3",0.2782
"PTGER3",3.5558
"TNIP3",0.0325
"MAPK9",7.0679
"COL23A1",0.5355
"BCAR1",7.3378
"FAM160A2",6.3835
"HERPUD1",16.5019
"HOMER3",4.6189
"RAD51",3.4731
"POLQ",0.5616
"PIK3CB",3.9296
"CYBA",10.8188
"THOC3",8.132
"HEBP2",16.3568
"MPHOSPH9",1.2336
"PLEKHA5",2.0922
"PRSS8",17.5284
"SIKE1",7.3134
"RRP12",7.1151
"FNIP2",0.9675
"MSMO1",15.3518
"TTC17",6.0095
"ALX4",0.0759
"FSTL4",0.5052
"FOXN3",2.4553
"METTL24",0.6861
"AKR7A2",34.2491
"MRTO4",30.2252
"NNAT",0.1047
"USE1",12.975
"MCF2L2",0.0254
"NRIP2",1.0134
"LAMA3",0.4633
"AP5M1",3.6221
"ANAPC4",1.537
"KCNQ1",2.1558
"TRAPPC3",26.3312
"THRAP3",36.7251
"PHPT1",84.1147
"ENTPD2",23.3357
"LY75",0.1876
"ARID4B",5.6924
"OPN3",0.7984
"SDCCAG8",8.3395
"PTPRN",0.2092
"HHAT",3.1767
"KIF1B",4.6959
"FOXC1",0.6374
"TBC1D22A",7.3282
"SYNE2",3.4726
"PLEKHH1",1.7343
"ATP9A",18.5642
"SPO11",0
"CBLN4",0.7939
"CHRDL2",2.6553
"FAM168A",9.663
"RELT",0.742
"GALC",6.4121
"NOP58",33.9213
"SZRD1",34.4976
"KCNH2",0.1707
"CUL1",24.1726
"FAM114A2",3.5907
"CYFIP2",4.492
"TAB2",16.4104
"GINM1",26.0204
"EIF2AK2",23.0155
"USP36",3.3477
"KMT2C",3.6104
"MCOLN3",0.0945
"CCDC85A",0.0761
"PUM2",20.7266
"MRPL43",16.5122
"ITIH4",0.0075
"ITIH1",0.0115
"HPF1",12.497
"ZFR",12.5397
"ZNF280C",1.2709
"NPFFR2",0.0442
"PHF21B",0.0405
"TRAF1",1.6277
"RC3H2",3.3715
"IL17RB",2.2678
"TRAF3IP2",9.4109
"GYG2",3.9665
"DCBLD2",2.7238
"SERPINB3",0
"SOAT1",5.9599
"PKP2",3.555
"MSH4",0.0372
"F7",1.245
"GDI2",103.7032
"PRDM1",2.7254
"ATG5",6.7831
"TMCC3",0.6061
"PITHD1",42.8823
"MTA3",7.0604
"USP13",4.7719
"ATP11B",7.8925
"LAMC2",11.5014
"CDK14",6.9458
"SEC61A1",101.406
"PPP1R12A",2.773
"RASGRF1",0.3346
"CAMK2B",0.309
"CROCC",3.652
"POLR3E",3.7907
"ATP2B4",27.1746
"ZC3H11A",0.0014
"RIOK2",6.4528
"YIPF1",46.5706
"NDC1",8.3773
"DGKG",0.0491
"FLYWCH1",3.0896
"UNKL",1.3086
"TBXAS1",0.9566
"PARP12",24.6716
"ALDH18A1",62.9471
"TARBP1",6.736
"GATB",1.2396
"MXD1",2.82
"CDK17",3.9283
"DNAJC25",4.2402
"SLC2A3",3.4914
"PSD",0.1483
"CTDP1",5.2525
"YBX3",28.4794
"STYK1",1.2991
"WNK1",10.131
"CCAR1",16.2804
"OGFR",27.1436
"GNA15",2.0906
"CREB3L3",0.0197
"PIGV",3.5742
"PTPRU",7.2628
"SNRNP40",14.7444
"RIMBP2",0.1639
"COL11A1",32.0144
"QSER1",3.6185
"MPC1",19.0078
"ACAA1",10.1231
"BCAT1",1.3633
"HDAC7",4.8094
"LZTS1",1.8985
"PRDM6",1.0003
"WNT8A",0
"SPAG4",6.3687
"NCKAP1",10.5271
"MRPS35",35.6142
"GUCY1B1",5.3831
"SFSWAP",5.3253
"TNK2",12.9733
"MON2",1.8611
"CDH3",17.7001
"ARSF",0.0394
"GPBP1",23.8792
"DGAT2",2.0987
"ZNF112",1.7126
"CS",28.9821
"LTK",0.0398
"MRPS24",0.0333
"ELMO2",11.3391
"WAPL",9.5834
"VMP1",24.1694
"APPBP2",4.5624
"POLD1",2.9603
"SEZ6",0.0035
"EIF4B",56.6846
"SLC6A16",1.8604
"BICRA",3.4876
"SPHK2",1.6841
"RPL18",298.1143
"CA11",0.5182
"ISOC2",14.0273
"U2AF2",47.733
"EPN1",8.2341
"MED29",34.6631
"AHRR",0.0147
"GSC2",0
"ZNF275",3.2292
"MTMR1",5.9985
"GPC1",11.4615
"ADCK1",2.0499
"HAGH",5.6938
"RNF4",9.0313
"CASP8",8.4504
"LIMCH1",8.5644
"INTS13",10.5386
"TM7SF3",8.6688
"DLX3",2.0943
"SPA17",2.2548
"TSPAN32",0.1282
"CCN5",5.9799
"DMRT3",0.4578
"ST3GAL6",0.5503
"ATP2C2",0.8278
"NGFR",0.6215
"CDON",0.5594
"TAF2",5.3822
"HIPK2",6.4312
"TNPO3",17.1279
"BORCS8-MEF2B",0.009
"RFXANK",18.8262
"TMEM161A",11.0498
"LPAR2",6.7799
"CTSA",15.2463
"SUGP2",9.1746
"SLC12A2",2.0762
"SNX24",7.4728
"EYA2",17.2248
"CNN2",69.9014
"ABCA7",2.2281
"SNCAIP",0.5073
"DDX20",5.6196
"BTBD1",12.0554
"FAR2",1.5103
"BCAS1",0.8369
"POU1F1",0.0444
"CHI3L2",8.3379
"SBNO2",15.9571
"PMS1",4.1605
"HMG20B",36.2595
"CALCRL",2.7406
"TAF11",19.8622
"ANKS1A",3.4253
"AP3D1",19.0073
"ZNF76",5.5072
"SLC9A3R2",30.8843
"NTHL1",5.7173
"UHRF1BP1",4.0276
"GNAI3",15.4655
"IPO5",14.5219
"OAT",59.1803
"WDR3",4.7244
"PKN2",4.5279
"WDR18",19.2694
"TRAM2",6.8817
"NTN1",4.6215
"GLP2R",0.0122
"MCM10",1.5999
"DGKA",3.0013
"ERBB3",34.6347
"ROPN1",0.05
"ANKRD44",0.5206
"KARS1",37.7337
"ADAT1",3.1978
"PDIA5",10.5175
"TBC1D22B",4.9322
"NDUFB4",142.9034
"SPEN",5.828
"MYLK",5.1732
"ZC3H15",36.0003
"MAP2K4",4.7788
"PACC1",13.0009
"SNAP91",0.0209
"SLK",7.7836
"CYB5R4",0.9886
"COL17A1",3.2915
"GSTO2",4.4986
"SEC61A2",2.4244
"PRKCQ",0.3588
"TLE2",2.1536
"ASB1",1.0963
"FAM107B",9.389
"ME1",11.0955
"TBC1D1",4.3321
"CDK13",2.3026
"MTHFD2",4.4462
"SLC9A7",3.1205
"FOXJ2",6.9503
"YBX1",161.4256
"PDE4A",4.1606
"PPP2R5A",26.1837
"CTNNA2",0.0623
"ELAVL1",20.4927
"TIE1",2.7723
"DIP2B",5.9685
"SMARCD1",22.0021
"KDM4A",6.5071
"NFYC",13.0803
"ZMYND12",4.4248
"SLC9A3",0.0242
"NGEF",0.6885
"ASPM",2.1607
"CD84",0.7609
"ELOVL1",50.3674
"SPI1",10.2795
"POLR1H",3.3337
"MPPED2",0.2779
"CLDN18",0.0421
"ZBTB11",2.6133
"ATXN3",2.6835
"GOLGA5",30.7562
"FGFR2",6.1134
"LRRC40",5.3333
"ISOC1",22.832
"EML1",2.0951
"TRMT11",1.5255
"THUMPD1",9.8616
"MSANTD3",9.3258
"KIF26A",0.2625
"ATG2B",2.1528
"ARFGEF1",5.8002
"ACSM2B",0
"ZFAT",2.1628
"MTFR1",6.5736
"STAG3",0.0952
"FECH",2.7812
"MYO9A",1.1681
"DDX3Y",0
"PFKP",12.4449
"IDI1",10.2368
"SP100",10.8162
"KLF6",16.4336
"PLPP1",15.537
"NEO1",14.264
"TRAM1",59.097
"PHKA1",3.0176
"TNFRSF1A",58.1255
"CACNB1",2.5089
"EVI5",1.2627
"STOML1",1.8971
"PKM",278.8922
"DHX29",14.0782
"DNTTIP2",13.4933
"METTL22",1.1755
"TP53BP1",2.3718
"TRO",0.8518
"RRP15",6.2008
"RHOA",116.0248
"DHX8",3.5079
"PRKCZ",1.9975
"ZFY",0
"IARS2",51.8533
"SYT1",0.2014
"NAV3",0.2187
"IDH3G",26.5142
"ROGDI",4.4902
"PDZD4",0.4006
"ATP2B3",0
"ROCK1",2.1792
"CBFB",9.3594
"PDK3",4.4584
"HYAL2",14.344
"HDAC4",0.4407
"RASSF1",8.0024
"FGFR3",0.2977
"IFI35",59.9527
"HEATR6",4.5439
"COASY",12.9549
"PLEKHH3",5.043
"MEF2A",4.9315
